# Spadli pouze testy na identifikovanou osobu  - opravuje se
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",16386,"2025-08-19T12:58:18.114Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",6257,"2025-08-19T12:58:24.437Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8523,"2025-08-19T12:58:33.000Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",2573,"2025-08-19T12:58:35.674Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2020,"2025-08-19T12:58:37.738Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",2110,"2025-08-19T12:58:39.888Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",710,"2025-08-19T12:58:40.653Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",8699,"2025-08-19T12:58:49.400Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",7768,"2025-08-19T12:58:57.239Z","19. 08. 2025 14:58"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",8278,"2025-08-19T12:59:05.596Z","19. 08. 2025 14:59"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8629,"2025-08-19T12:59:14.295Z","19. 08. 2025 14:59"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",8160,"2025-08-19T12:59:22.504Z","19. 08. 2025 14:59"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7754,"2025-08-19T12:59:30.314Z","19. 08. 2025 14:59"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",4101,"2025-08-19T12:59:34.469Z","19. 08. 2025 14:59"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Delete company","passed",15900,"2025-08-19T12:59:50.434Z","19. 08. 2025 14:59"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Registration company","passed",12789,"2025-08-19T13:00:04.593Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account in bank module exist","passed",6836,"2025-08-19T13:00:11.529Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",7195,"2025-08-19T13:00:18.770Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1448,"2025-08-19T13:00:20.347Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",1939,"2025-08-19T13:00:22.342Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",899,"2025-08-19T13:00:23.267Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Invoice buttons exist","passed",783,"2025-08-19T13:00:24.112Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",8245,"2025-08-19T13:00:32.426Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",8353,"2025-08-19T13:00:40.844Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",8668,"2025-08-19T13:00:49.589Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",9321,"2025-08-19T13:00:58.990Z","19. 08. 2025 15:00"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",8589,"2025-08-19T13:01:07.678Z","19. 08. 2025 15:01"
