# Spadli pouze testy na identifikovanou osobu  - opravuje se Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",16009,"2025-08-25T13:39:59.324Z","25. 08. 2025 15:39"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",8012,"2025-08-25T13:40:07.397Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",10599,"2025-08-25T13:40:18.061Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",2104,"2025-08-25T13:40:20.347Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2275,"2025-08-25T13:40:22.680Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",2182,"2025-08-25T13:40:24.897Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1006,"2025-08-25T13:40:26.048Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",10869,"2025-08-25T13:40:37.015Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",9831,"2025-08-25T13:40:47.009Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",14461,"2025-08-25T13:41:01.608Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",11129,"2025-08-25T13:41:13.003Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",9236,"2025-08-25T13:41:22.416Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",10545,"2025-08-25T13:41:33.074Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",5858,"2025-08-25T13:41:39.043Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Delete company","passed",17137,"2025-08-25T13:41:56.287Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Registration company","passed",13728,"2025-08-25T13:42:12.891Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account in bank module exist","passed",7564,"2025-08-25T13:42:20.538Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",9181,"2025-08-25T13:42:29.777Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account is set in invoice setting","passed",2634,"2025-08-25T13:42:32.542Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2551,"2025-08-25T13:42:35.235Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1606,"2025-08-25T13:42:36.877Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Invoice buttons exist","passed",688,"2025-08-25T13:42:37.669Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",9516,"2025-08-25T13:42:47.246Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",10085,"2025-08-25T13:42:57.433Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",10573,"2025-08-25T13:43:08.201Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",11519,"2025-08-25T13:43:19.896Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",10087,"2025-08-25T13:43:30.179Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",11345,"2025-08-25T13:43:41.650Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",6412,"2025-08-25T13:43:48.281Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Delete company","passed",15425,"2025-08-25T13:44:03.779Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Registration company","passed",12939,"2025-08-25T13:44:20.554Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Bank account in bank module exist","passed",7600,"2025-08-25T13:44:28.216Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Folder for bank account exist in DMS module","passed",9300,"2025-08-25T13:44:37.560Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Bank account is set in invoice setting","passed",1790,"2025-08-25T13:44:39.444Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Path to the DMS folders are set in invoice setting","failed",6816,"2025-08-25T13:44:46.297Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1671,"2025-08-25T13:44:48.071Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Invoice buttons exist","passed",924,"2025-08-25T13:44:49.034Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Faktury vystavené","passed",10021,"2025-08-25T13:44:59.092Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Faktury přijaté","passed",9330,"2025-08-25T13:45:08.493Z","25. 08. 2025 15:45"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Příjmové doklady","passed",9201,"2025-08-25T13:45:17.783Z","25. 08. 2025 15:45"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",9437,"2025-08-25T13:45:27.270Z","25. 08. 2025 15:45"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Ostatní pohledávky","passed",9259,"2025-08-25T13:45:36.600Z","25. 08. 2025 15:45"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Účtenky - placené kartou","passed",10664,"2025-08-25T13:45:47.404Z","25. 08. 2025 15:45"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Interní doklady","passed",5972,"2025-08-25T13:45:53.428Z","25. 08. 2025 15:45"
