#Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",13394,"2025-08-31T16:50:33.874Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7422,"2025-08-31T16:50:41.344Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8755,"2025-08-31T16:50:50.138Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1697,"2025-08-31T16:50:51.915Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2190,"2025-08-31T16:50:54.154Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1012,"2025-08-31T16:50:55.197Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1223,"2025-08-31T16:50:56.473Z","31. 08. 2025 18:50"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",12989,"2025-08-31T16:51:09.524Z","31. 08. 2025 18:51"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",12016,"2025-08-31T16:51:21.626Z","31. 08. 2025 18:51"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",12494,"2025-08-31T16:51:34.194Z","31. 08. 2025 18:51"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12291,"2025-08-31T16:51:46.557Z","31. 08. 2025 18:51"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12026,"2025-08-31T16:51:58.643Z","31. 08. 2025 18:51"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",11669,"2025-08-31T16:52:10.369Z","31. 08. 2025 18:52"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",7819,"2025-08-31T16:52:18.239Z","31. 08. 2025 18:52"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Delete company","passed",15020,"2025-08-31T16:52:33.289Z","31. 08. 2025 18:52"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Registration company","passed",12270,"2025-08-31T16:52:46.727Z","31. 08. 2025 18:52"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account in bank module exist","passed",6912,"2025-08-31T16:52:53.693Z","31. 08. 2025 18:52"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8382,"2025-08-31T16:53:02.120Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1795,"2025-08-31T16:53:03.991Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2363,"2025-08-31T16:53:06.389Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1368,"2025-08-31T16:53:07.787Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Invoice buttons exist","passed",971,"2025-08-31T16:53:08.806Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",12604,"2025-08-31T16:53:21.475Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",11916,"2025-08-31T16:53:33.468Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",12141,"2025-08-31T16:53:45.703Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12756,"2025-08-31T16:53:58.533Z","31. 08. 2025 18:53"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",11679,"2025-08-31T16:54:10.289Z","31. 08. 2025 18:54"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",11824,"2025-08-31T16:54:22.191Z","31. 08. 2025 18:54"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",7949,"2025-08-31T16:54:30.207Z","31. 08. 2025 18:54"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Delete company","passed",14892,"2025-08-31T16:54:45.143Z","31. 08. 2025 18:54"
"Registration company Právnická osoba calendar year - IO - DE @low","Registration company","passed",11410,"2025-08-31T16:54:57.773Z","31. 08. 2025 18:54"
"Registration company Právnická osoba calendar year - IO - DE @low","Bank account in bank module exist","passed",6639,"2025-08-31T16:55:04.488Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Folder for bank account exist in DMS module","passed",8677,"2025-08-31T16:55:13.207Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Bank account is set in invoice setting","passed",1587,"2025-08-31T16:55:14.863Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Path to the DMS folders are set in invoice setting","passed",1961,"2025-08-31T16:55:16.862Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1192,"2025-08-31T16:55:18.082Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Invoice buttons exist","passed",1224,"2025-08-31T16:55:19.352Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Faktury vystavené","passed",12134,"2025-08-31T16:55:31.540Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Faktury přijaté","passed",11449,"2025-08-31T16:55:43.071Z","31. 08. 2025 18:55"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Příjmové doklady","passed",12093,"2025-08-31T16:55:55.268Z","31. 08. 2025 18:55"
