# Spuštění testů na registraci BETA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",15836,"2025-09-03T07:47:39.692Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7607,"2025-09-03T07:47:47.384Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",11015,"2025-09-03T07:47:58.503Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1979,"2025-09-03T07:48:00.705Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2896,"2025-09-03T07:48:03.800Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1295,"2025-09-03T07:48:05.163Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",935,"2025-09-03T07:48:06.192Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",15301,"2025-09-03T07:48:21.576Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",14951,"2025-09-03T07:48:36.690Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",15042,"2025-09-03T07:48:51.873Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",16259,"2025-09-03T07:49:08.268Z","03. 09. 2025 09:49"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",14937,"2025-09-03T07:49:23.549Z","03. 09. 2025 09:49"
