# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",13718,"2025-09-08T11:22:22.905Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",6733,"2025-09-08T11:22:29.689Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8880,"2025-09-08T11:22:38.617Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1692,"2025-09-08T11:22:40.408Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2110,"2025-09-08T11:22:42.557Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",868,"2025-09-08T11:22:43.452Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1044,"2025-09-08T11:22:44.544Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",13207,"2025-09-08T11:22:57.810Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",11735,"2025-09-08T11:23:09.626Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",12664,"2025-09-08T11:23:22.376Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12165,"2025-09-08T11:23:34.639Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11664,"2025-09-08T11:23:46.368Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12271,"2025-09-08T11:23:58.731Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",7674,"2025-09-08T11:24:06.474Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Delete company","passed",12074,"2025-09-08T11:24:18.591Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Registration company","passed",13377,"2025-09-08T11:24:33.302Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account in bank module exist","passed",6493,"2025-09-08T11:24:39.838Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8305,"2025-09-08T11:24:48.186Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1635,"2025-09-08T11:24:49.904Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2307,"2025-09-08T11:24:52.247Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",897,"2025-09-08T11:24:53.178Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Invoice buttons exist","passed",1142,"2025-09-08T11:24:54.367Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",12856,"2025-09-08T11:25:07.283Z","08. 09. 2025 13:25"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",11779,"2025-09-08T11:25:19.133Z","08. 09. 2025 13:25"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",12606,"2025-09-08T11:25:31.802Z","08. 09. 2025 13:25"
