# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",14249,"2025-09-10T13:10:42.828Z","10. 09. 2025 15:10"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7156,"2025-09-10T13:10:50.043Z","10. 09. 2025 15:10"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8833,"2025-09-10T13:10:58.905Z","10. 09. 2025 15:10"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",2421,"2025-09-10T13:11:01.438Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2536,"2025-09-10T13:11:04.013Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1094,"2025-09-10T13:11:05.141Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1056,"2025-09-10T13:11:06.253Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",12699,"2025-09-10T13:11:19.014Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",12276,"2025-09-10T13:11:31.374Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",13333,"2025-09-10T13:11:44.808Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12485,"2025-09-10T13:11:57.379Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11672,"2025-09-10T13:12:09.157Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12189,"2025-09-10T13:12:21.453Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",8443,"2025-09-10T13:12:29.955Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Delete company","passed",13073,"2025-09-10T13:12:43.087Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Registration company","passed",12473,"2025-09-10T13:12:56.750Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account in bank module exist","passed",6965,"2025-09-10T13:13:03.766Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8763,"2025-09-10T13:13:12.574Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1569,"2025-09-10T13:13:14.222Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2370,"2025-09-10T13:13:16.632Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1041,"2025-09-10T13:13:17.704Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Invoice buttons exist","passed",1010,"2025-09-10T13:13:18.796Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",12529,"2025-09-10T13:13:31.469Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",12518,"2025-09-10T13:13:44.062Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",12666,"2025-09-10T13:13:56.817Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12792,"2025-09-10T13:14:09.705Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",12416,"2025-09-10T13:14:22.219Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",11886,"2025-09-10T13:14:34.180Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",8113,"2025-09-10T13:14:42.351Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Delete company","passed",13312,"2025-09-10T13:14:55.735Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - IO - DE @low","Registration company","passed",11777,"2025-09-10T13:15:09.560Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Bank account in bank module exist","passed",6849,"2025-09-10T13:15:16.463Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Folder for bank account exist in DMS module","passed",9046,"2025-09-10T13:15:25.552Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Bank account is set in invoice setting","passed",1638,"2025-09-10T13:15:27.282Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Path to the DMS folders are set in invoice setting","passed",2355,"2025-09-10T13:15:29.697Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",929,"2025-09-10T13:15:30.662Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Invoice buttons exist","passed",1552,"2025-09-10T13:15:32.296Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Faktury vystavené","passed",12901,"2025-09-10T13:15:45.285Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Faktury přijaté","passed",12365,"2025-09-10T13:15:57.745Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Příjmové doklady","passed",12663,"2025-09-10T13:16:10.475Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",13002,"2025-09-10T13:16:23.551Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - DE @low","Test pro složku: Ostatní pohledávky","passed",12106,"2025-09-10T13:16:35.743Z","10. 09. 2025 15:16"
