# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Registration company","passed",12868,"2025-09-11T12:08:44.343Z","11. 09. 2025 14:08"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",6768,"2025-09-11T12:08:51.165Z","11. 09. 2025 14:08"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8905,"2025-09-11T12:09:00.115Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1688,"2025-09-11T12:09:01.881Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2190,"2025-09-11T12:09:04.112Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1083,"2025-09-11T12:09:05.227Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1044,"2025-09-11T12:09:06.324Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",13059,"2025-09-11T12:09:19.449Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",12279,"2025-09-11T12:09:31.810Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",12782,"2025-09-11T12:09:44.666Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12692,"2025-09-11T12:09:57.442Z","11. 09. 2025 14:09"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12075,"2025-09-11T12:10:09.588Z","11. 09. 2025 14:10"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12273,"2025-09-11T12:10:21.923Z","11. 09. 2025 14:10"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",7916,"2025-09-11T12:10:29.897Z","11. 09. 2025 14:10"
"Registration company Právnická osoba calendar year - monthly payer - DE @high @middle @low","Delete company","passed",11375,"2025-09-11T12:10:41.326Z","11. 09. 2025 14:10"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Registration company","passed",12313,"2025-09-11T12:10:54.833Z","11. 09. 2025 14:10"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account in bank module exist","passed",6782,"2025-09-11T12:11:01.657Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8910,"2025-09-11T12:11:10.614Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1318,"2025-09-11T12:11:12.015Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2442,"2025-09-11T12:11:14.523Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",985,"2025-09-11T12:11:15.557Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Invoice buttons exist","passed",1041,"2025-09-11T12:11:16.655Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",12555,"2025-09-11T12:11:29.260Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",12577,"2025-09-11T12:11:41.904Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",12592,"2025-09-11T12:11:54.574Z","11. 09. 2025 14:11"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12695,"2025-09-11T12:12:07.326Z","11. 09. 2025 14:12"
"Registration company Právnická osoba calendar year - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",12287,"2025-09-11T12:12:19.691Z","11. 09. 2025 14:12"
