# Spadli pouze testy na identifikovanou osobu  - opravuje se a flaky test na smazání firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",12931,"2025-08-18T07:43:27.949Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6143,"2025-08-18T07:43:34.166Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8344,"2025-08-18T07:43:42.553Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2070,"2025-08-18T07:43:44.705Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",1870,"2025-08-18T07:43:46.610Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1128,"2025-08-18T07:43:47.762Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",709,"2025-08-18T07:43:48.521Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8229,"2025-08-18T07:43:56.807Z","18. 08. 2025 09:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",8031,"2025-08-18T07:44:04.958Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",8358,"2025-08-18T07:44:13.385Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8421,"2025-08-18T07:44:21.865Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7901,"2025-08-18T07:44:29.838Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",8675,"2025-08-18T07:44:38.579Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",3690,"2025-08-18T07:44:42.312Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",13611,"2025-08-18T07:44:55.946Z","18. 08. 2025 09:44"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",12738,"2025-08-18T07:45:09.780Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",5873,"2025-08-18T07:45:15.699Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",7213,"2025-08-18T07:45:22.952Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1561,"2025-08-18T07:45:24.580Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2093,"2025-08-18T07:45:26.709Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",910,"2025-08-18T07:45:27.645Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Invoice buttons exist","passed",818,"2025-08-18T07:45:28.525Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",8574,"2025-08-18T07:45:37.138Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",7980,"2025-08-18T07:45:45.191Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",8322,"2025-08-18T07:45:53.586Z","18. 08. 2025 09:45"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",8299,"2025-08-18T07:46:01.980Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",7850,"2025-08-18T07:46:09.946Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",7823,"2025-08-18T07:46:17.885Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",4341,"2025-08-18T07:46:22.288Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Delete company","passed",13794,"2025-08-18T07:46:36.110Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Registration company","passed",12036,"2025-08-18T07:46:49.388Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Bank account in bank module exist","passed",5960,"2025-08-18T07:46:55.392Z","18. 08. 2025 09:46"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Folder for bank account exist in DMS module","passed",7162,"2025-08-18T07:47:02.598Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Bank account is set in invoice setting","passed",2009,"2025-08-18T07:47:04.682Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Path to the DMS folders are set in invoice setting","failed",5777,"2025-08-18T07:47:10.486Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1311,"2025-08-18T07:47:11.872Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Invoice buttons exist","passed",997,"2025-08-18T07:47:12.930Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Faktury vystavené","passed",8433,"2025-08-18T07:47:21.404Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Faktury přijaté","passed",7892,"2025-08-18T07:47:29.341Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Příjmové doklady","passed",8974,"2025-08-18T07:47:38.354Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",9629,"2025-08-18T07:47:48.050Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",8487,"2025-08-18T07:47:56.601Z","18. 08. 2025 09:47"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",8335,"2025-08-18T07:48:04.978Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Interní doklady","passed",4255,"2025-08-18T07:48:09.289Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Delete company","passed",13778,"2025-08-18T07:48:23.093Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Registration company","passed",12637,"2025-08-18T07:48:36.882Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",5410,"2025-08-18T07:48:42.337Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",7352,"2025-08-18T07:48:49.716Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",1362,"2025-08-18T07:48:51.179Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",1757,"2025-08-18T07:48:52.976Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",848,"2025-08-18T07:48:53.849Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Invoice buttons exist","passed",798,"2025-08-18T07:48:54.682Z","18. 08. 2025 09:48"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8082,"2025-08-18T07:49:02.801Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",7466,"2025-08-18T07:49:10.326Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",7539,"2025-08-18T07:49:17.934Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",7516,"2025-08-18T07:49:25.526Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7523,"2025-08-18T07:49:33.121Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7306,"2025-08-18T07:49:40.475Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",3749,"2025-08-18T07:49:44.267Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Delete company","passed",13465,"2025-08-18T07:49:57.755Z","18. 08. 2025 09:49"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Registration company","passed",12583,"2025-08-18T07:50:11.395Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",5960,"2025-08-18T07:50:17.391Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",6967,"2025-08-18T07:50:24.398Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1338,"2025-08-18T07:50:25.803Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2070,"2025-08-18T07:50:27.912Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",858,"2025-08-18T07:50:28.795Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",863,"2025-08-18T07:50:29.693Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",7801,"2025-08-18T07:50:37.548Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",7792,"2025-08-18T07:50:45.400Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",8208,"2025-08-18T07:50:53.669Z","18. 08. 2025 09:50"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8232,"2025-08-18T07:51:02.025Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",8168,"2025-08-18T07:51:10.254Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7919,"2025-08-18T07:51:18.294Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",4104,"2025-08-18T07:51:22.667Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Delete company","passed",13589,"2025-08-18T07:51:36.284Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Registration company","passed",12970,"2025-08-18T07:51:50.468Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Bank account in bank module exist","passed",5585,"2025-08-18T07:51:56.102Z","18. 08. 2025 09:51"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",7000,"2025-08-18T07:52:03.144Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1429,"2025-08-18T07:52:04.638Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2379,"2025-08-18T07:52:07.056Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1438,"2025-08-18T07:52:08.518Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Invoice buttons exist","passed",474,"2025-08-18T07:52:09.041Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",8028,"2025-08-18T07:52:17.112Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",7816,"2025-08-18T07:52:25.001Z","18. 08. 2025 09:52"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",8695,"2025-08-18T07:52:33.760Z","18. 08. 2025 09:52"
