# Spadli pouze testy na identifikovanou osobu  - opravuje se
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",18439,"2025-08-19T12:58:20.282Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7314,"2025-08-19T12:58:27.668Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9035,"2025-08-19T12:58:36.775Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2845,"2025-08-19T12:58:39.760Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2535,"2025-08-19T12:58:42.367Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1217,"2025-08-19T12:58:43.619Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",758,"2025-08-19T12:58:44.434Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8448,"2025-08-19T12:58:52.930Z","19. 08. 2025 14:58"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",8087,"2025-08-19T12:59:01.095Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",8775,"2025-08-19T12:59:09.953Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8520,"2025-08-19T12:59:18.538Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7889,"2025-08-19T12:59:26.486Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7934,"2025-08-19T12:59:34.486Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",4666,"2025-08-19T12:59:39.230Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",14023,"2025-08-19T12:59:53.296Z","19. 08. 2025 14:59"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",15172,"2025-08-19T13:00:09.924Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",7043,"2025-08-19T13:00:17.016Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",7496,"2025-08-19T13:00:24.568Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1657,"2025-08-19T13:00:26.335Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2014,"2025-08-19T13:00:28.418Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1125,"2025-08-19T13:00:29.575Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Invoice buttons exist","passed",681,"2025-08-19T13:00:30.309Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",10268,"2025-08-19T13:00:40.667Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",7893,"2025-08-19T13:00:48.647Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",9306,"2025-08-19T13:00:58.041Z","19. 08. 2025 15:00"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",9380,"2025-08-19T13:01:07.623Z","19. 08. 2025 15:01"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",8862,"2025-08-19T13:01:16.603Z","19. 08. 2025 15:01"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",8814,"2025-08-19T13:01:25.533Z","19. 08. 2025 15:01"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",4148,"2025-08-19T13:01:29.773Z","19. 08. 2025 15:01"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Delete company","passed",13795,"2025-08-19T13:01:43.628Z","19. 08. 2025 15:01"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Registration company","passed",12111,"2025-08-19T13:01:57.127Z","19. 08. 2025 15:01"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Bank account in bank module exist","passed",7832,"2025-08-19T13:02:05.027Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Folder for bank account exist in DMS module","passed",7817,"2025-08-19T13:02:12.905Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Bank account is set in invoice setting","passed",3022,"2025-08-19T13:02:16.079Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Path to the DMS folders are set in invoice setting","failed",5967,"2025-08-19T13:02:22.101Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1284,"2025-08-19T13:02:23.476Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Invoice buttons exist","passed",824,"2025-08-19T13:02:24.355Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Faktury vystavené","passed",8930,"2025-08-19T13:02:33.322Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Faktury přijaté","passed",8094,"2025-08-19T13:02:41.482Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Příjmové doklady","passed",9086,"2025-08-19T13:02:50.627Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",8784,"2025-08-19T13:02:59.457Z","19. 08. 2025 15:02"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",8450,"2025-08-19T13:03:07.978Z","19. 08. 2025 15:03"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",8102,"2025-08-19T13:03:16.141Z","19. 08. 2025 15:03"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Interní doklady","passed",4161,"2025-08-19T13:03:20.416Z","19. 08. 2025 15:03"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Delete company","passed",14994,"2025-08-19T13:03:35.445Z","19. 08. 2025 15:03"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Registration company","passed",12194,"2025-08-19T13:03:49.520Z","19. 08. 2025 15:03"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",6817,"2025-08-19T13:03:56.401Z","19. 08. 2025 15:03"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",7651,"2025-08-19T13:04:04.124Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",1517,"2025-08-19T13:04:05.753Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2264,"2025-08-19T13:04:08.070Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1044,"2025-08-19T13:04:09.165Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Invoice buttons exist","passed",730,"2025-08-19T13:04:09.997Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8779,"2025-08-19T13:04:18.889Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",8137,"2025-08-19T13:04:27.122Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",9449,"2025-08-19T13:04:36.661Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8202,"2025-08-19T13:04:44.959Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",8997,"2025-08-19T13:04:54.071Z","19. 08. 2025 15:04"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",8243,"2025-08-19T13:05:02.418Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",5270,"2025-08-19T13:05:07.750Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Delete company","passed",13710,"2025-08-19T13:05:21.520Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Registration company","passed",12495,"2025-08-19T13:05:35.351Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",8688,"2025-08-19T13:05:44.087Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",7247,"2025-08-19T13:05:51.370Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2429,"2025-08-19T13:05:53.900Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2007,"2025-08-19T13:05:55.953Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",917,"2025-08-19T13:05:56.898Z","19. 08. 2025 15:05"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",840,"2025-08-19T13:05:57.780Z","19. 08. 2025 15:05"
