# Spadli pouze testy na identifikovanou osobu  - opravuje se Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",12858,"2025-08-26T06:05:09.821Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6458,"2025-08-26T06:05:16.328Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8310,"2025-08-26T06:05:24.656Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1145,"2025-08-26T06:05:25.852Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2341,"2025-08-26T06:05:28.220Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1035,"2025-08-26T06:05:29.272Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1058,"2025-08-26T06:05:30.353Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8606,"2025-08-26T06:05:38.998Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",7741,"2025-08-26T06:05:46.783Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",8246,"2025-08-26T06:05:55.080Z","26. 08. 2025 08:05"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8177,"2025-08-26T06:06:03.309Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7659,"2025-08-26T06:06:10.999Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7897,"2025-08-26T06:06:18.942Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",4017,"2025-08-26T06:06:22.993Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",14647,"2025-08-26T06:06:37.664Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",12816,"2025-08-26T06:06:51.456Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",6407,"2025-08-26T06:06:57.898Z","26. 08. 2025 08:06"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",7981,"2025-08-26T06:07:05.902Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1230,"2025-08-26T06:07:07.179Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2454,"2025-08-26T06:07:09.658Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",863,"2025-08-26T06:07:10.539Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Invoice buttons exist","passed",1048,"2025-08-26T06:07:11.606Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",8571,"2025-08-26T06:07:20.220Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",7803,"2025-08-26T06:07:28.066Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",8205,"2025-08-26T06:07:36.312Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",8170,"2025-08-26T06:07:44.527Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",7928,"2025-08-26T06:07:52.500Z","26. 08. 2025 08:07"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",7795,"2025-08-26T06:08:00.340Z","26. 08. 2025 08:08"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",3872,"2025-08-26T06:08:04.247Z","26. 08. 2025 08:08"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Delete company","passed",14682,"2025-08-26T06:08:18.944Z","26. 08. 2025 08:08"
