#Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",16420,"2025-08-31T16:07:07.150Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",8296,"2025-08-31T16:07:15.519Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",10301,"2025-08-31T16:07:25.862Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1815,"2025-08-31T16:07:27.793Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2913,"2025-08-31T16:07:30.764Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",2454,"2025-08-31T16:07:33.269Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",970,"2025-08-31T16:07:34.314Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",14881,"2025-08-31T16:07:49.295Z","31. 08. 2025 18:07"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",13769,"2025-08-31T16:08:03.185Z","31. 08. 2025 18:08"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",17238,"2025-08-31T16:08:20.611Z","31. 08. 2025 18:08"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",15673,"2025-08-31T16:08:36.392Z","31. 08. 2025 18:08"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",16846,"2025-08-31T16:08:53.398Z","31. 08. 2025 18:08"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",15283,"2025-08-31T16:09:09.464Z","31. 08. 2025 18:09"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",10004,"2025-08-31T16:09:19.682Z","31. 08. 2025 18:09"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",17361,"2025-08-31T16:09:37.112Z","31. 08. 2025 18:09"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",13581,"2025-08-31T16:09:52.509Z","31. 08. 2025 18:09"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",8210,"2025-08-31T16:10:00.805Z","31. 08. 2025 18:10"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",9729,"2025-08-31T16:10:10.577Z","31. 08. 2025 18:10"
