# Spuštění testů na registraci BETA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",13385,"2025-09-03T08:40:42.074Z","03. 09. 2025 10:40"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7080,"2025-09-03T08:40:49.228Z","03. 09. 2025 10:40"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9393,"2025-09-03T08:40:58.655Z","03. 09. 2025 10:40"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2072,"2025-09-03T08:41:00.811Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2497,"2025-09-03T08:41:03.354Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1062,"2025-09-03T08:41:04.465Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",972,"2025-09-03T08:41:05.482Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13441,"2025-09-03T08:41:18.978Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12226,"2025-09-03T08:41:31.300Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12429,"2025-09-03T08:41:43.808Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12578,"2025-09-03T08:41:56.475Z","03. 09. 2025 10:41"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12065,"2025-09-03T08:42:08.636Z","03. 09. 2025 10:42"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",13633,"2025-09-03T08:42:22.354Z","03. 09. 2025 10:42"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8113,"2025-09-03T08:42:30.533Z","03. 09. 2025 10:42"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",11944,"2025-09-03T08:42:42.517Z","03. 09. 2025 10:42"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",12717,"2025-09-03T08:42:56.383Z","03. 09. 2025 10:42"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",6651,"2025-09-03T08:43:03.082Z","03. 09. 2025 10:43"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8501,"2025-09-03T08:43:11.626Z","03. 09. 2025 10:43"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1562,"2025-09-03T08:43:13.260Z","03. 09. 2025 10:43"
