# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",13167,"2025-09-08T11:44:15.610Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6972,"2025-09-08T11:44:22.650Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9129,"2025-09-08T11:44:31.834Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1497,"2025-09-08T11:44:33.412Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3000,"2025-09-08T11:44:36.464Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",986,"2025-09-08T11:44:37.497Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1373,"2025-09-08T11:44:38.927Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13159,"2025-09-08T11:44:52.180Z","08. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12029,"2025-09-08T11:45:04.344Z","08. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12606,"2025-09-08T11:45:17.023Z","08. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12199,"2025-09-08T11:45:29.275Z","08. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11846,"2025-09-08T11:45:41.182Z","08. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",11739,"2025-09-08T11:45:53.023Z","08. 09. 2025 13:45"
