# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",13085,"2025-09-10T12:48:20.207Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7931,"2025-09-10T12:48:28.206Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9199,"2025-09-10T12:48:37.475Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1853,"2025-09-10T12:48:39.420Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2485,"2025-09-10T12:48:41.950Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1099,"2025-09-10T12:48:43.089Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1076,"2025-09-10T12:48:44.270Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13454,"2025-09-10T12:48:57.789Z","10. 09. 2025 14:48"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12572,"2025-09-10T12:49:10.459Z","10. 09. 2025 14:49"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12475,"2025-09-10T12:49:23.066Z","10. 09. 2025 14:49"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12408,"2025-09-10T12:49:35.550Z","10. 09. 2025 14:49"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11953,"2025-09-10T12:49:47.696Z","10. 09. 2025 14:49"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",11886,"2025-09-10T12:49:59.655Z","10. 09. 2025 14:49"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",7657,"2025-09-10T12:50:07.366Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",12741,"2025-09-10T12:50:20.149Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",12769,"2025-09-10T12:50:34.068Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",7338,"2025-09-10T12:50:41.455Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8710,"2025-09-10T12:50:50.205Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1786,"2025-09-10T12:50:52.084Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2697,"2025-09-10T12:50:54.824Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1150,"2025-09-10T12:50:56.011Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Invoice buttons exist","passed",902,"2025-09-10T12:50:56.959Z","10. 09. 2025 14:50"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",13399,"2025-09-10T12:51:10.439Z","10. 09. 2025 14:51"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",13455,"2025-09-10T12:51:24.033Z","10. 09. 2025 14:51"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",13228,"2025-09-10T12:51:37.353Z","10. 09. 2025 14:51"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",13114,"2025-09-10T12:51:50.568Z","10. 09. 2025 14:51"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",12237,"2025-09-10T12:52:02.910Z","10. 09. 2025 14:52"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12245,"2025-09-10T12:52:15.234Z","10. 09. 2025 14:52"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",8019,"2025-09-10T12:52:23.316Z","10. 09. 2025 14:52"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Delete company","passed",13127,"2025-09-10T12:52:36.512Z","10. 09. 2025 14:52"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Registration company","passed",11849,"2025-09-10T12:52:49.595Z","10. 09. 2025 14:52"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Bank account in bank module exist","passed",7149,"2025-09-10T12:52:56.830Z","10. 09. 2025 14:52"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Folder for bank account exist in DMS module","passed",8530,"2025-09-10T12:53:05.392Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Bank account is set in invoice setting","passed",1800,"2025-09-10T12:53:07.270Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Path to the DMS folders are set in invoice setting","passed",2298,"2025-09-10T12:53:09.608Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1055,"2025-09-10T12:53:10.692Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Invoice buttons exist","passed",1122,"2025-09-10T12:53:11.860Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Faktury vystavené","passed",12835,"2025-09-10T12:53:24.760Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Faktury přijaté","passed",12147,"2025-09-10T12:53:36.982Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Příjmové doklady","passed",12727,"2025-09-10T12:53:49.786Z","10. 09. 2025 14:53"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12689,"2025-09-10T12:54:02.569Z","10. 09. 2025 14:54"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",12428,"2025-09-10T12:54:15.094Z","10. 09. 2025 14:54"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12143,"2025-09-10T12:54:27.345Z","10. 09. 2025 14:54"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Test pro složku: Interní doklady","passed",8226,"2025-09-10T12:54:35.733Z","10. 09. 2025 14:54"
"Registration company Právnická osoba NO calendar year - IO - accounting @low","Delete company","passed",12140,"2025-09-10T12:54:48.056Z","10. 09. 2025 14:54"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Registration company","passed",12261,"2025-09-10T12:55:01.611Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",7292,"2025-09-10T12:55:08.954Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8452,"2025-09-10T12:55:17.446Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",2040,"2025-09-10T12:55:19.563Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2603,"2025-09-10T12:55:22.208Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1138,"2025-09-10T12:55:23.374Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Invoice buttons exist","passed",980,"2025-09-10T12:55:24.402Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",12943,"2025-09-10T12:55:37.409Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",11566,"2025-09-10T12:55:49.093Z","10. 09. 2025 14:55"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",11782,"2025-09-10T12:56:01.052Z","10. 09. 2025 14:56"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12744,"2025-09-10T12:56:13.967Z","10. 09. 2025 14:56"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12003,"2025-09-10T12:56:26.074Z","10. 09. 2025 14:56"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12475,"2025-09-10T12:56:38.657Z","10. 09. 2025 14:56"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",8277,"2025-09-10T12:56:47.046Z","10. 09. 2025 14:56"
"Registration company Právnická osoba NO calendar year - neplátce accounting @high @middle @low","Delete company","passed",13097,"2025-09-10T12:57:00.201Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Registration company","passed",13076,"2025-09-10T12:57:15.529Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6929,"2025-09-10T12:57:22.517Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8971,"2025-09-10T12:57:31.521Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1839,"2025-09-10T12:57:33.455Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2983,"2025-09-10T12:57:36.477Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1282,"2025-09-10T12:57:37.792Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",793,"2025-09-10T12:57:38.639Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",14075,"2025-09-10T12:57:52.772Z","10. 09. 2025 14:57"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",13033,"2025-09-10T12:58:05.956Z","10. 09. 2025 14:58"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",14305,"2025-09-10T12:58:20.415Z","10. 09. 2025 14:58"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",13725,"2025-09-10T12:58:34.250Z","10. 09. 2025 14:58"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12136,"2025-09-10T12:58:46.509Z","10. 09. 2025 14:58"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12630,"2025-09-10T12:58:59.352Z","10. 09. 2025 14:58"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8413,"2025-09-10T12:59:07.981Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - monthly payer - accounting @high @middle @low","Delete company","passed",12918,"2025-09-10T12:59:20.949Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Registration company","passed",13105,"2025-09-10T12:59:35.908Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Bank account in bank module exist","passed",7002,"2025-09-10T12:59:42.967Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",9088,"2025-09-10T12:59:52.110Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1641,"2025-09-10T12:59:53.834Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2877,"2025-09-10T12:59:56.759Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",935,"2025-09-10T12:59:57.730Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Invoice buttons exist","passed",1206,"2025-09-10T12:59:58.988Z","10. 09. 2025 14:59"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",12889,"2025-09-10T13:00:11.952Z","10. 09. 2025 15:00"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",12386,"2025-09-10T13:00:24.457Z","10. 09. 2025 15:00"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12598,"2025-09-10T13:00:37.208Z","10. 09. 2025 15:00"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12603,"2025-09-10T13:00:49.892Z","10. 09. 2025 15:00"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",12621,"2025-09-10T13:01:02.690Z","10. 09. 2025 15:01"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12254,"2025-09-10T13:01:15.059Z","10. 09. 2025 15:01"
"Registration company Právnická osoba NO economic year - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",8566,"2025-09-10T13:01:23.695Z","10. 09. 2025 15:01"
