# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",15442,"2025-09-11T11:43:22.091Z","11. 09. 2025 13:43"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",64470,"2025-09-11T11:44:26.622Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",7528,"2025-09-11T11:44:34.212Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1257,"2025-09-11T11:44:35.534Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3280,"2025-09-11T11:44:38.845Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",966,"2025-09-11T11:44:39.877Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1250,"2025-09-11T11:44:41.184Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13596,"2025-09-11T11:44:54.823Z","11. 09. 2025 13:44"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12828,"2025-09-11T11:45:07.755Z","11. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",13021,"2025-09-11T11:45:20.864Z","11. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",13068,"2025-09-11T11:45:33.991Z","11. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12436,"2025-09-11T11:45:46.479Z","11. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12923,"2025-09-11T11:45:59.453Z","11. 09. 2025 13:45"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8315,"2025-09-11T11:46:07.838Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",12000,"2025-09-11T11:46:19.892Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Registration company","passed",13186,"2025-09-11T11:46:35.140Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account in bank module exist","passed",7590,"2025-09-11T11:46:42.802Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8780,"2025-09-11T11:46:51.658Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1867,"2025-09-11T11:46:53.711Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2265,"2025-09-11T11:46:56.097Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1613,"2025-09-11T11:46:57.752Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Invoice buttons exist","passed",947,"2025-09-11T11:46:58.800Z","11. 09. 2025 13:46"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",13660,"2025-09-11T11:47:12.555Z","11. 09. 2025 13:47"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",14118,"2025-09-11T11:47:26.934Z","11. 09. 2025 13:47"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",14801,"2025-09-11T11:47:41.913Z","11. 09. 2025 13:47"
"Registration company Právnická osoba NO calendar year  - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",13885,"2025-09-11T11:47:55.967Z","11. 09. 2025 13:47"
