# Spadli pouze testy na identifikovanou osobu  - opravuje se
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",15992,"2025-08-11T13:14:37.393Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",5779,"2025-08-11T13:14:43.236Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8232,"2025-08-11T13:14:51.518Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1766,"2025-08-11T13:14:53.435Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2431,"2025-08-11T13:14:55.970Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1001,"2025-08-11T13:14:57.016Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",830,"2025-08-11T13:14:57.909Z","11. 08. 2025 15:14"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",9053,"2025-08-11T13:15:07.056Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",8760,"2025-08-11T13:15:15.926Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",9336,"2025-08-11T13:15:25.404Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",10903,"2025-08-11T13:15:36.439Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",8428,"2025-08-11T13:15:45.001Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",8647,"2025-08-11T13:15:53.815Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",4790,"2025-08-11T13:15:58.808Z","11. 08. 2025 15:15"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",14454,"2025-08-11T13:16:13.400Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Registration company","passed",13976,"2025-08-11T13:16:29.336Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account in bank module exist","passed",6049,"2025-08-11T13:16:35.445Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",6969,"2025-08-11T13:16:42.474Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",2133,"2025-08-11T13:16:44.861Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2653,"2025-08-11T13:16:47.645Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1002,"2025-08-11T13:16:48.694Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Invoice buttons exist","passed",657,"2025-08-11T13:16:49.412Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",8409,"2025-08-11T13:16:57.874Z","11. 08. 2025 15:16"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",8332,"2025-08-11T13:17:06.290Z","11. 08. 2025 15:17"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",8948,"2025-08-11T13:17:15.322Z","11. 08. 2025 15:17"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",8994,"2025-08-11T13:17:24.453Z","11. 08. 2025 15:17"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",8760,"2025-08-11T13:17:33.309Z","11. 08. 2025 15:17"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",8928,"2025-08-11T13:17:42.373Z","11. 08. 2025 15:17"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",4662,"2025-08-11T13:17:47.127Z","11. 08. 2025 15:17"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Delete company","passed",14314,"2025-08-11T13:18:01.479Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Registration company","passed",11543,"2025-08-11T13:18:14.870Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Bank account in bank module exist","passed",6121,"2025-08-11T13:18:21.041Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Folder for bank account exist in DMS module","passed",7516,"2025-08-11T13:18:28.589Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Bank account is set in invoice setting","passed",1481,"2025-08-11T13:18:30.285Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Path to the DMS folders are set in invoice setting","failed",5852,"2025-08-11T13:18:36.207Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1151,"2025-08-11T13:18:37.444Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Invoice buttons exist","passed",995,"2025-08-11T13:18:38.506Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Faktury vystavené","passed",9272,"2025-08-11T13:18:47.824Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Faktury přijaté","passed",8371,"2025-08-11T13:18:56.284Z","11. 08. 2025 15:18"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Příjmové doklady","passed",9481,"2025-08-11T13:19:05.836Z","11. 08. 2025 15:19"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",9538,"2025-08-11T13:19:15.434Z","11. 08. 2025 15:19"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",9035,"2025-08-11T13:19:24.557Z","11. 08. 2025 15:19"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",9022,"2025-08-11T13:19:33.661Z","11. 08. 2025 15:19"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Interní doklady","passed",3936,"2025-08-11T13:19:37.844Z","11. 08. 2025 15:19"
"Registration company Právnická osoba calendar year - IO - accounting @low","Delete company","passed",13539,"2025-08-11T13:19:51.719Z","11. 08. 2025 15:19"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Registration company","passed",11575,"2025-08-11T13:20:05.221Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",5787,"2025-08-11T13:20:11.055Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",7052,"2025-08-11T13:20:18.156Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",1409,"2025-08-11T13:20:19.672Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",1765,"2025-08-11T13:20:21.484Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",878,"2025-08-11T13:20:22.403Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Invoice buttons exist","passed",927,"2025-08-11T13:20:23.427Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",9377,"2025-08-11T13:20:32.884Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",8048,"2025-08-11T13:20:41.022Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",9147,"2025-08-11T13:20:50.296Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8105,"2025-08-11T13:20:58.519Z","11. 08. 2025 15:20"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7758,"2025-08-11T13:21:06.357Z","11. 08. 2025 15:21"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",9224,"2025-08-11T13:21:15.688Z","11. 08. 2025 15:21"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",4732,"2025-08-11T13:21:20.529Z","11. 08. 2025 15:21"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Delete company","passed",14127,"2025-08-11T13:21:34.699Z","11. 08. 2025 15:21"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Registration company","passed",12392,"2025-08-11T13:21:48.664Z","11. 08. 2025 15:21"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",5910,"2025-08-11T13:21:54.652Z","11. 08. 2025 15:21"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",7294,"2025-08-11T13:22:02.003Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1335,"2025-08-11T13:22:03.425Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2677,"2025-08-11T13:22:06.140Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1009,"2025-08-11T13:22:07.184Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",784,"2025-08-11T13:22:08.020Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8978,"2025-08-11T13:22:17.051Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",8450,"2025-08-11T13:22:25.595Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",9426,"2025-08-11T13:22:35.099Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8860,"2025-08-11T13:22:44.046Z","11. 08. 2025 15:22"
"Registration company Právnická osoba economic year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",8437,"2025-08-11T13:22:52.546Z","11. 08. 2025 15:22"
