# Spadli pouze testy na identifikovanou osobu  - opravuje se Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",13926,"2025-08-25T13:39:57.363Z","25. 08. 2025 15:39"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",8052,"2025-08-25T13:40:05.486Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",10130,"2025-08-25T13:40:15.681Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2013,"2025-08-25T13:40:17.988Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2773,"2025-08-25T13:40:20.940Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1363,"2025-08-25T13:40:22.373Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",2175,"2025-08-25T13:40:24.593Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",11297,"2025-08-25T13:40:36.012Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",10132,"2025-08-25T13:40:46.361Z","25. 08. 2025 15:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",15582,"2025-08-25T13:41:02.062Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",11393,"2025-08-25T13:41:13.627Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",9308,"2025-08-25T13:41:23.117Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",10669,"2025-08-25T13:41:33.985Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",5242,"2025-08-25T13:41:39.391Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",16828,"2025-08-25T13:41:56.279Z","25. 08. 2025 15:41"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Registration company","passed",15842,"2025-08-25T13:42:14.969Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account in bank module exist","passed",8005,"2025-08-25T13:42:23.057Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",10089,"2025-08-25T13:42:33.215Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",2024,"2025-08-25T13:42:35.399Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",3085,"2025-08-25T13:42:38.553Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1196,"2025-08-25T13:42:39.786Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Invoice buttons exist","passed",1116,"2025-08-25T13:42:40.955Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",9370,"2025-08-25T13:42:50.422Z","25. 08. 2025 15:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",9564,"2025-08-25T13:43:00.158Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12737,"2025-08-25T13:43:13.023Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",13561,"2025-08-25T13:43:26.724Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",10492,"2025-08-25T13:43:37.419Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",11374,"2025-08-25T13:43:49.003Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",6246,"2025-08-25T13:43:55.369Z","25. 08. 2025 15:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Delete company","passed",15609,"2025-08-25T13:44:11.064Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - accounting @low","Registration company","passed",14673,"2025-08-25T13:44:28.037Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - accounting @low","Bank account in bank module exist","passed",8531,"2025-08-25T13:44:36.654Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - accounting @low","Folder for bank account exist in DMS module","passed",8858,"2025-08-25T13:44:45.582Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - accounting @low","Bank account is set in invoice setting","passed",2238,"2025-08-25T13:44:47.992Z","25. 08. 2025 15:44"
"Registration company Právnická osoba calendar year - IO - accounting @low","Path to the DMS folders are set in invoice setting","failed",5921,"2025-08-25T13:44:53.987Z","25. 08. 2025 15:44"
