#Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",15341,"2025-08-31T16:07:06.102Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",8165,"2025-08-31T16:07:14.333Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",10055,"2025-08-31T16:07:24.425Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2442,"2025-08-31T16:07:26.959Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3194,"2025-08-31T16:07:30.255Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",2891,"2025-08-31T16:07:33.205Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",645,"2025-08-31T16:07:33.954Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",15326,"2025-08-31T16:07:49.396Z","31. 08. 2025 18:07"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",13668,"2025-08-31T16:08:03.183Z","31. 08. 2025 18:08"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",16418,"2025-08-31T16:08:19.722Z","31. 08. 2025 18:08"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",14741,"2025-08-31T16:08:34.592Z","31. 08. 2025 18:08"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",16197,"2025-08-31T16:08:50.930Z","31. 08. 2025 18:08"
