# Spuštění testů na registraci BETA - Spadl test na identifikovanou osobu musím zjistit proč
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",14480,"2025-09-03T07:47:38.316Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7634,"2025-09-03T07:47:46.061Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",10331,"2025-09-03T07:47:56.566Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2335,"2025-09-03T07:47:59.187Z","03. 09. 2025 09:47"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3232,"2025-09-03T07:48:02.584Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1341,"2025-09-03T07:48:04.037Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1259,"2025-09-03T07:48:05.371Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",15541,"2025-09-03T07:48:21.023Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",15617,"2025-09-03T07:48:36.916Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",14461,"2025-09-03T07:48:51.488Z","03. 09. 2025 09:48"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",17483,"2025-09-03T07:49:09.246Z","03. 09. 2025 09:49"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",14503,"2025-09-03T07:49:24.057Z","03. 09. 2025 09:49"
