# Spuštění testů na registraci BETA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",14518,"2025-09-03T08:40:43.272Z","03. 09. 2025 10:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6925,"2025-09-03T08:40:50.247Z","03. 09. 2025 10:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8793,"2025-09-03T08:40:59.080Z","03. 09. 2025 10:40"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1829,"2025-09-03T08:41:00.991Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2571,"2025-09-03T08:41:03.602Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1013,"2025-09-03T08:41:04.642Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1174,"2025-09-03T08:41:05.864Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13161,"2025-09-03T08:41:19.076Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12045,"2025-09-03T08:41:31.206Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12712,"2025-09-03T08:41:43.987Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12533,"2025-09-03T08:41:56.657Z","03. 09. 2025 10:41"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11969,"2025-09-03T08:42:08.717Z","03. 09. 2025 10:42"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",11865,"2025-09-03T08:42:20.659Z","03. 09. 2025 10:42"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8104,"2025-09-03T08:42:28.825Z","03. 09. 2025 10:42"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",11918,"2025-09-03T08:42:40.785Z","03. 09. 2025 10:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Registration company","passed",12608,"2025-09-03T08:42:54.549Z","03. 09. 2025 10:42"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account in bank module exist","passed",6761,"2025-09-03T08:43:01.353Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8548,"2025-09-03T08:43:09.955Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1885,"2025-09-03T08:43:11.919Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2562,"2025-09-03T08:43:14.521Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",899,"2025-09-03T08:43:15.451Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Invoice buttons exist","passed",1261,"2025-09-03T08:43:16.762Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",12616,"2025-09-03T08:43:29.440Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",11893,"2025-09-03T08:43:41.422Z","03. 09. 2025 10:43"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",13992,"2025-09-03T08:43:55.510Z","03. 09. 2025 10:43"
