# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",14987,"2025-09-08T11:22:24.167Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6639,"2025-09-08T11:22:30.872Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8958,"2025-09-08T11:22:39.878Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1709,"2025-09-08T11:22:41.678Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2308,"2025-09-08T11:22:44.029Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",832,"2025-09-08T11:22:44.890Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1107,"2025-09-08T11:22:46.056Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",12834,"2025-09-08T11:22:58.945Z","08. 09. 2025 13:22"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",11580,"2025-09-08T11:23:10.588Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12467,"2025-09-08T11:23:23.121Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12229,"2025-09-08T11:23:35.418Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11994,"2025-09-08T11:23:47.477Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12211,"2025-09-08T11:23:59.773Z","08. 09. 2025 13:23"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",7754,"2025-09-08T11:24:07.588Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",11830,"2025-09-08T11:24:19.459Z","08. 09. 2025 13:24"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Registration company","passed",13752,"2025-09-08T11:24:34.577Z","08. 09. 2025 13:24"
