# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",15633,"2025-09-10T13:10:44.089Z","10. 09. 2025 15:10"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7010,"2025-09-10T13:10:51.153Z","10. 09. 2025 15:10"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9303,"2025-09-10T13:11:00.497Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1519,"2025-09-10T13:11:02.148Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2618,"2025-09-10T13:11:04.810Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",945,"2025-09-10T13:11:05.801Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1275,"2025-09-10T13:11:07.145Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",12957,"2025-09-10T13:11:20.173Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12512,"2025-09-10T13:11:32.755Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12722,"2025-09-10T13:11:45.538Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",13043,"2025-09-10T13:11:58.661Z","10. 09. 2025 15:11"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12525,"2025-09-10T13:12:11.280Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12662,"2025-09-10T13:12:24.036Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8124,"2025-09-10T13:12:32.210Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",12074,"2025-09-10T13:12:44.326Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Registration company","passed",12373,"2025-09-10T13:12:57.951Z","10. 09. 2025 15:12"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account in bank module exist","passed",7394,"2025-09-10T13:13:05.396Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8580,"2025-09-10T13:13:14.026Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1523,"2025-09-10T13:13:15.634Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2614,"2025-09-10T13:13:18.304Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",916,"2025-09-10T13:13:19.248Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Invoice buttons exist","passed",1229,"2025-09-10T13:13:20.536Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",12456,"2025-09-10T13:13:33.053Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",12076,"2025-09-10T13:13:45.207Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12778,"2025-09-10T13:13:58.076Z","10. 09. 2025 15:13"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12990,"2025-09-10T13:14:11.173Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",12366,"2025-09-10T13:14:23.650Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12326,"2025-09-10T13:14:36.083Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",8136,"2025-09-10T13:14:44.320Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Delete company","passed",13514,"2025-09-10T13:14:57.882Z","10. 09. 2025 15:14"
"Registration company Právnická osoba calendar year - IO - accounting @low","Registration company","passed",11956,"2025-09-10T13:15:11.746Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Bank account in bank module exist","passed",6875,"2025-09-10T13:15:18.672Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Folder for bank account exist in DMS module","passed",9415,"2025-09-10T13:15:28.137Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Bank account is set in invoice setting","passed",1619,"2025-09-10T13:15:29.833Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Path to the DMS folders are set in invoice setting","passed",2771,"2025-09-10T13:15:32.664Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1018,"2025-09-10T13:15:33.715Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Invoice buttons exist","passed",1206,"2025-09-10T13:15:34.991Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Faktury vystavené","passed",13138,"2025-09-10T13:15:48.242Z","10. 09. 2025 15:15"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Faktury přijaté","passed",12578,"2025-09-10T13:16:00.915Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Příjmové doklady","passed",13233,"2025-09-10T13:16:14.253Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",13882,"2025-09-10T13:16:28.222Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",12551,"2025-09-10T13:16:40.857Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",13138,"2025-09-10T13:16:54.128Z","10. 09. 2025 15:16"
"Registration company Právnická osoba calendar year - IO - accounting @low","Test pro složku: Interní doklady","passed",8256,"2025-09-10T13:17:02.467Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - IO - accounting @low","Delete company","passed",12116,"2025-09-10T13:17:14.650Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Registration company","passed",12595,"2025-09-10T13:17:28.897Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",7306,"2025-09-10T13:17:36.264Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8832,"2025-09-10T13:17:45.157Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",1742,"2025-09-10T13:17:46.976Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2643,"2025-09-10T13:17:49.665Z","10. 09. 2025 15:17"
"Registration company Právnická osoba calendar year - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",916,"2025-09-10T13:17:50.620Z","10. 09. 2025 15:17"
