# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Registration company","passed",12895,"2025-09-11T12:32:06.736Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6813,"2025-09-11T12:32:13.605Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8957,"2025-09-11T12:32:22.591Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1676,"2025-09-11T12:32:24.340Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2305,"2025-09-11T12:32:26.683Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1046,"2025-09-11T12:32:27.759Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1159,"2025-09-11T12:32:28.963Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13356,"2025-09-11T12:32:42.385Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12562,"2025-09-11T12:32:55.020Z","11. 09. 2025 14:32"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12835,"2025-09-11T12:33:07.942Z","11. 09. 2025 14:33"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12868,"2025-09-11T12:33:20.900Z","11. 09. 2025 14:33"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",13802,"2025-09-11T12:33:34.771Z","11. 09. 2025 14:33"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",11947,"2025-09-11T12:33:46.804Z","11. 09. 2025 14:33"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8202,"2025-09-11T12:33:55.081Z","11. 09. 2025 14:33"
"Registration company Právnická osoba calendar year - monthly payer - accounting @high @middle @low","Delete company","passed",11663,"2025-09-11T12:34:06.780Z","11. 09. 2025 14:34"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Registration company","passed",12402,"2025-09-11T12:34:20.378Z","11. 09. 2025 14:34"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account in bank module exist","passed",6591,"2025-09-11T12:34:27.008Z","11. 09. 2025 14:34"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8601,"2025-09-11T12:34:35.651Z","11. 09. 2025 14:34"
"Registration company Právnická osoba calendar year - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1387,"2025-09-11T12:34:37.112Z","11. 09. 2025 14:34"
